Sample	tsne1	tsne2	Patient	Position	Cluster	Cluster
P1_T1_Crypt_B1_8	-11.2732689985116	-10.4118478528755	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B1_81	-9.88495275502762	4.01609990034897	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_82	-2.99526810689416	4.75448445495717	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_83	4.32640719079042	-4.70746617412232	P1	Crypt	2	Enter-2
P1_T1_Crypt_B1_84	3.2173676315959	0.0526276676672632	P1	Crypt	5	Enter-1
P1_T1_Crypt_B1_85	-8.34918385992398	5.0847821985882	P1	Crypt	2	Enter-2
P1_T1_Crypt_B1_86	3.23756691274705	0.40497078601082	P1	Crypt	5	Enter-1
P1_T1_Crypt_B1_87	2.20793990948279	0.999072732231514	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_88	1.10212806787459	-5.24130758352083	P1	Crypt	2	Enter-2
P1_T1_Crypt_B1_90	0.948631707939845	10.1531375361561	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_91	-5.56763179329072	-0.02924507719977	P1	Crypt	3	Enter-3
P1_T1_Crypt_B1_92	-3.50047166853124	-6.61921466588229	P1	Crypt	6	MKI67-high
P1_T1_Crypt_B1_93	-9.85205222770892	0.78969508747629	P1	Crypt	2	Enter-2
P1_T1_Crypt_B1_95	-15.4669711427499	-9.55894448122106	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_1	-6.92908719767693	-8.82345822279675	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_10	-0.425219810554852	2.14218689645583	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_11	-14.9674040887866	-9.89007461440835	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_12	-5.89973064767261	-5.82722043452013	P1	Crypt	4	Goblet-2
P1_T1_Crypt_B2_14	-14.4795369107981	-5.73881732901093	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_15	-14.3745400272496	-12.6071883020229	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_16	-8.38830228527956	-10.3257876201494	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_17	0.371599056095053	-6.1628311297176	P1	Crypt	2	Enter-2
P1_T1_Crypt_B2_18	-2.90803059727344	2.4720832884341	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_19	0.0071850822876574	-2.94849300848541	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_2	-12.837721696287	-7.22375416413535	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_21	-0.175943950349256	-2.34149463440677	P1	Crypt	2	Enter-2
P1_T1_Crypt_B2_22	-1.26037887626808	1.6071079076574	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_24	-2.8279820589706	3.66265431157605	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_25	11.6357937759823	-6.28324156633526	P1	Crypt	7	Endocrine
P1_T1_Crypt_B2_26	-17.2093101882698	-8.7094443970174	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_27	-5.96420887400285	-0.155812252010458	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_30	11.2169474363465	-6.75848170299567	P1	Crypt	7	Endocrine
P1_T1_Crypt_B2_31	-10.3841163904349	-7.43446059462081	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_32	-2.54089110146768	3.93762635557513	P1	Crypt	5	Enter-1
P1_T1_Crypt_B2_33	-4.43943559060553	1.40670774743886	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_35	-10.7586506546446	-11.1724198478929	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_36	1.20212577795239	1.6706193335798	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_37	5.39987199682231	3.25486131263105	P1	Crypt	5	Enter-1
P1_T1_Crypt_B2_38	-6.58001582348944	4.0878055980599	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_39	6.7162667908329	-0.386804407700396	P1	Crypt	4	Goblet-2
P1_T1_Crypt_B2_4	-14.7082464056222	-7.21521009986206	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_40	4.37922076027722	8.83672713782349	P1	Crypt	2	Enter-2
P1_T1_Crypt_B2_41	-13.6518609587186	-10.8089616699824	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_42	-3.58925658640152	-0.349441284015116	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_43	-5.33082593206853	2.98541900390145	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_44	-4.59013674957815	-0.10704644714432	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_45	0.873273909664195	-1.66683577566372	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_46	6.11833340704657	-3.69586102356596	P1	Crypt	5	Enter-1
P1_T1_Crypt_B2_47	-17.0002616187293	-10.3356727014384	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_49	-1.5265378541414	3.69733728591322	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_50	-6.37839581727941	8.14129095526182	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_52	-0.909248704598426	3.25098882340097	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_53	-11.4882941349099	-5.27529019010681	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_55	0.500338725050736	9.16346303168284	P1	Crypt	5	Enter-1
P1_T1_Crypt_B2_56	-12.1923297674168	-11.8126620818297	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_57	-1.27174514251916	5.45819055914549	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_58	0.340286457034134	-1.25170673187367	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_6	5.59694996474762	1.53801678089465	P1	Crypt	5	Enter-1
P1_T1_Crypt_B2_60	0.12350585185032	-0.0861661307357077	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_62	6.22404385577155	-1.4877683500133	P1	Crypt	5	Enter-1
P1_T1_Crypt_B2_63	-9.00181748113883	2.38692186730929	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_64	-13.7104929436718	-10.3566412967877	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_65	-5.47310505849757	1.74807616869361	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_66	-1.57143009851569	-1.80418803738563	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_67	-12.0030197114484	-9.68930877168864	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_68	-5.20661531163842	0.721832277281942	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_69	-6.48269773325093	3.01440336649182	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_7	-10.1245425034957	-5.50222207102588	P1	Crypt	2	Enter-2
P1_T1_Crypt_B2_70	-12.3405175556338	-7.49739572724308	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_71	-14.140500621344	-11.6571257983157	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_73	-15.4279637237279	-9.14668304668333	P1	Crypt	4	Goblet-2
P1_T1_Crypt_B2_74	1.54710645499387	-4.06364618792191	P1	Crypt	5	Enter-1
P1_T1_Crypt_B2_75	4.04427479897052	-2.28048662267783	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_76	-2.00902153555053	4.10426494964796	P1	Crypt	2	Enter-2
P1_T1_Crypt_B2_77	8.81794421749432	7.93514164542206	P1	Crypt	2	Enter-2
P1_T1_Crypt_B2_78	-6.33305750457071	0.806710737005287	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_79	-1.44241975614287	-2.62283439044294	P1	Crypt	2	Enter-2
P1_T1_Crypt_B2_8	-2.09557048988233	6.52993531807023	P1	Crypt	5	Enter-1
P1_T1_Crypt_B2_80	2.17411474610704	3.78799087591513	P1	Crypt	5	Enter-1
P1_T1_Crypt_B2_81	-12.4170012645653	-9.18337913699639	P1	Crypt	1	Goblet-1
P1_T1_Crypt_B2_82	12.3277176767866	5.53396838519629	P1	Crypt	4	Goblet-2
P1_T1_Crypt_B2_83	12.5951608949293	5.72592373438064	P1	Crypt	4	Goblet-2
P1_T1_Crypt_B2_84	2.93782620143766	5.90053384226226	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_85	-4.33509209018009	4.49637269226507	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_86	-2.20849537624752	1.44664822700391	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_87	3.98882845908765	-2.38223734969612	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_88	-1.4133295127779	-0.690081122567066	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_89	-1.57750931836946	5.34944734512005	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_90	12.6652959128412	5.63402759173126	P1	Crypt	4	Goblet-2
P1_T1_Crypt_B2_91	-1.49329322622683	-4.0321212415739	P1	Crypt	2	Enter-2
P1_T1_Crypt_B2_92	12.6732322984926	5.8161138575515	P1	Crypt	4	Goblet-2
P1_T1_Crypt_B2_93	4.42535857289799	3.05047749314037	P1	Crypt	5	Enter-1
P1_T1_Crypt_B2_94	1.02674517941382	2.86350784479221	P1	Crypt	3	Enter-3
P1_T1_Crypt_B2_95	16.8497638663066	11.1906922693549	P1	Crypt	8	Mesenchymal
P1_T1_Crypt_B2_96	-1.64274442099064	-6.01472371040064	P1	Crypt	5	Enter-1
P1_T1_Villus_B1_1	9.89191918986037	6.34264647284537	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_10	4.5046043020279	8.89876601563224	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_11	4.36181771933801	10.4332348387642	P1	Villus	5	Enter-1
P1_T1_Villus_B1_12	6.98937953947608	5.91276879837089	P1	Villus	5	Enter-1
P1_T1_Villus_B1_14	-5.77485968308682	-12.7428612988809	P1	Villus	1	Goblet-1
P1_T1_Villus_B1_15	-15.4137614139593	-11.5894451598351	P1	Villus	1	Goblet-1
P1_T1_Villus_B1_16	7.66039685803824	6.6668388276824	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_17	8.34515345105623	1.88845775619034	P1	Villus	5	Enter-1
P1_T1_Villus_B1_18	9.90965451730234	-1.2502020400889	P1	Villus	5	Enter-1
P1_T1_Villus_B1_19	3.03632417570001	0.315381616860582	P1	Villus	5	Enter-1
P1_T1_Villus_B1_2	9.45434772513994	-0.305901411526034	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_22	-6.86962371914301	-11.7407959195167	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_24	12.1873356063208	1.92985252922767	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_26	15.796385203933	6.66851902658375	P1	Villus	9	Immune
P1_T1_Villus_B1_27	10.5292905196096	6.30557144696784	P1	Villus	4	Goblet-2
P1_T1_Villus_B1_29	-11.9649811247677	-6.9180387766293	P1	Villus	4	Goblet-2
